Scene,Character,Line
4,paul,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
4,monica,"My brother's going through that right now, he's such a mess. How did you get through it?"
4,paul,"Well, you might try accidentally breaking something valuable of hers, say her-"
4,monica,-leg?
4,paul,"That's one way! Me, I- I went for the watch."
4,monica,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
4,paul,"Ooh, steer clear of you."
4,monica,That's right.
4,rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-"
5,ross,I'm divorced! I'm only 26 and I'm divorced!
5,joey,Shut up!
5,chandler,You must stop!
5,ross,That only took me an hour.
5,chandler,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.  You, however have had the love of a woman for four years.  Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
5,ross,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
5,joey,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
5,ross,I honestly don't know if I'm hungry or horny.
5,chandler,Stay out of my freezer!
5,paul,"Ever since she walked out on me, I, uh..."
5,monica,"What?..... What, you wanna spell it out with noodles?"
5,paul,"No, it's, it's more of a fifth date kinda revelation."
5,monica,"Oh, so there is gonna be a fifth date?"
5,paul,Isn't there?
5,monica,"Yeah... yeah, I think there is. -What were you gonna say?"
5,paul,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually."
5,monica,"Oh God, oh God, I am sorry... I am so sorry..."
5,paul,It's okay...
5,monica,I know being spit on is probably not what you need right now. Um... how long?
5,paul,Two years.
5,monica,Wow! I'm-I'm-I'm glad you smashed her watch!
5,paul,"So you still think you, um... might want that fifth date?"
5,monica,"...Yeah. Yeah, I do."
6,priest on tv,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony."
6,rachel,Oh...see... but Joanne loved Chachi! That's the difference!
7,ross,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
7,joey,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
7,chandler,"Angela's the screamer, Andrea has cats."
7,joey,Right. Thanks. It's June. I'm outta here.
7,ross,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?"
8,rachel,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
8,chandler,That is amazing.
8,joey,Congratulations.
8,rachel,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
8,chandler,"If can invade Poland, there isn't anything I can't do."
8,joey,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
8,monica,"Oh good, Lenny and Squigy are here."
8,all,Morning. Good morning.
8,paul,Morning.
8,joey,"Morning, Paul."
8,rachel,"Hello, Paul."
8,chandler,"Hi, Paul, is it?"
8,paul,Thank you! Thank you so much!
8,monica,Stop!
8,paul,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
8,monica,We'll talk later.
8,paul,Yeah.
8,joey,That wasn't a real date?! What the hell do you do on a real date?
8,monica,"Shut up, and put my table back."
8,all,Okayyy!
8,chandler,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
8,rachel,"So, like, you guys all have jobs?"
8,monica,"Yeah, we all have jobs. See, that's how we buy stuff."
8,joey,"Yeah, I'm an actor."
8,rachel,Wow! Would I have seen you in anything?
8,joey,I doubt it. Mostly regional work.
8,monica,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
8,joey,"Look, it was a job all right?"
8,chandler,"'Look, Gippetto, I'm a real live boy.'"
8,joey,I will not take this abuse.
8,chandler,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy..."""
8,joey,"You should both know, that he's a dead man. Oh, Chandler?"
8,monica,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
8,rachel,I can see that. You look like you slept with a hanger in your mouth.
8,monica,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
8,rachel,"Oh, yeah."
8,monica,"Well, it's like that. With feelings."
8,rachel,Oh wow. Are you in trouble.
8,monica,Big time!
8,rachel,Want a wedding dress?  Hardly used.
8,monica,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
8,rachel,"Oh, look, wish me luck!"
8,monica,What for?
8,rachel,I'm gonna go get one of those job things.
9,frannie,"Hey, Monica!"
9,monica,"Hey Frannie, welcome back! How was Florida?"
9,frannie,"You had sex, didn't you?"
9,monica,How do you do that?
9,frannie,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?"
9,monica,You know Paul?
9,frannie,"Paul the Wine Guy? Oh yeah, I know Paul."
9,monica,You mean you know Paul like I know Paul?
9,frannie,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
10,joey,Of course it was a line!
10,monica,"Why?! Why? Why, why would anybody do something like that?"
10,ross,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
10,monica,I hate men! I hate men!
10,phoebe,"Oh no, don't hate, you don't want to put that out into the universe."
10,monica,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
10,phoebe,"All right, c'mere, gimme your feet."
10,monica,"I just thought he was nice, y'know?"
10,joey,I can't believe you didn't know it was a line!
10,rachel,Guess what?
10,ross,You got a job?
10,rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
10,chandler,And yet you're surprisingly upbeat.
10,rachel,"You would be too if you found John and David boots on sale, fifty percent off!"
10,chandler,"Oh, how well you know me..."
10,rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
10,monica,How'd you pay for them?
10,rachel,"Uh, credit card."
10,monica,And who pays for that?
10,rachel,Um... my... father.
11,rachel,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
11,monica,"C'mon, you can't live off your parents your whole life."
11,rachel,I know that. That's why I was getting married.
11,phoebe,"Give her a break, it's hard being on your own for the first time."
11,rachel,Thank you.
11,phoebe,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
11,ross,The word you're looking for is 'Anyway'...
11,monica,"All right, you ready?"
11,rachel,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
11,monica,"You can, I know you can!"
11,rachel,I don't think so.
11,ross,"Come on, you made coffee!  You can do anything!"
11,ross,"C'mon, cut. Cut, cut, cut,..."
11,all,"Cut, cut, cut, cut, cut, cut, cut..."
11,rachel,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
11,monica,Rachel! That was a library card!
11,all,"Cut, cut, cut, cut, cut, cut, cut.."
11,chandler,"Y'know, if you listen closely, you can hear a thousand retailers scream."
11,monica,Welcome to the real world! It sucks. You're gonna love it!
11,monica,"Well, that's it You gonna crash on the couch?"
11,ross,"No. No, I gotta go home sometime."
11,monica,You be okay?
11,ross,Yeah.
11,rachel,"Hey Mon, look what I just found on the floor. What?"
11,monica,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
11,ross and rachel,Goodnight.
11,ross,"Mmm. Oh, no-"
11,rachel,Sorry-
11,ross,"No no no, go-"
11,rachel,"No, you have it, really, I don't want it-"
11,ross,Split it?
11,rachel,Okay.
11,ross,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
11,rachel,I knew.
11,ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
11,rachel,I did.
11,ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
11,rachel,"Yeah, maybe..."
11,ross,"Okay... okay, maybe I will..."
11,rachel,Goodnight.
11,ross,Goodnight.
11,monica,"See ya.... Waitwait, what's with you?"
11,ross,I just grabbed a spoon.
12,joey,I can't believe what I'm hearing here.
12,phoebe,I can't believe what I'm hearing here...
12,monica,What? I-I said you had a-
12,phoebe,What I said you had...
12,monica,Would you stop?
12,phoebe,"Oh, was I doing it again?"
12,all,Yes!
12,monica,"I said that you had a nice butt, it's just not a great butt."
12,joey,"Oh, you wouldn't know a great butt if it came up and bit ya."
12,ross,There's an image.
12,rachel,Would anybody like more coffee?
12,chandler,"Did you make it, or are you just serving it?"
12,rachel,I'm just serving it.
12,all,"Yeah. Yeah, I'll have a cup of coffee."
12,chandler,"Kids, new dream... I'm in Las Vegas."
12,customer,"Ahh, miss?  More coffee?"
12,rachel,"Ugh. Sorry. Okay, Las Vegas."
12,chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
12,monica,"What you guys don't understand is, for us, kissing is as important as any part of it."
12,joey,"Yeah, right!.......Y'serious?"
12,phoebe,"Oh, yeah!"
12,rachel,Everything you need to know is in that first kiss.
12,monica,Absolutely.
12,chandler,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
12,ross,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
12,chandler,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
12,rachel,"Yeah, well, word of advice Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
12,joey,....Are we still talking about sex?
13,ross,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
13,marsha,"Well, she has issues."
13,ross,Does she.
13,marsha,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
13,ross,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
13,marsha,"Speaking of issues, isn't that your ex-wife?"
13,ross,No. No.
13,marsha,"Yes, it is. Carol! Hi!"
13,ross,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
13,ross,Hi.
13,carol,So.
13,ross,"You look great. I, uh... I hate that."
13,carol,Sorry. You look good too.
13,ross,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
13,carol,A lesbian?
13,ross,"Well... you never know. How's, um.. how's the family?"
13,carol,"Marty's still totally paranoid. Oh, and, uh-"
13,ross,"Why- why are you here, Carol?"
13,carol,I'm pregnant.
13,ross,Pregnant?!
14,chandler,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
14,phoebe,...Then I've already seen this one!
14,monica,Are you through with that?
14,joey,"Yeah, sorry, the swallowing slowed me down."
14,monica,Whose little ball of paper is this?!
14,chandler,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead."
14,phoebe,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!"
14,monica,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
14,chandler,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
14,phoebe,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
14,joey,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
14,monica,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
14,chandler,"Ew, ew, ew, ew ew ew ew ew!"
14,monica,What?
14,chandler,Ugly Naked Guy got a Thighmaster!
14,all,Eeaagh!
14,rachel,Has anybody seen my engagement ring?
14,phoebe,"Yeah, it's beautiful."
14,rachel,"Oh God, oh God, oh God oh God oh God oh God...."
14,phoebe,"No, look, don't touch that!"
14,rachel,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
14,monica,"Easy Rach, we'll find it. Won't we!"
14,chandler and joey,Oh! Yeah!
14,joey,"Alright, when'd'ya have it on last?"
14,phoebe,Doy! Probably right before she lost it!
14,chandler,You don't get a lot of 'doy' these days...
14,rachel,"I know I had it this morning, and I know I had it when I was in the kitchen with..."
14,chandler,...Dinah?
14,rachel,"Ohhhhh, don't be mad..."
14,monica,You didn't.
14,rachel,"Oh, I am sorry..."
14,monica,I gave you one job!
14,rachel,"Oh, but look how straight those noodles are!"
14,chandler,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
14,monica,I just... can't do it.
14,chandler,Boys? We're going in.
14,ross,.....Hi.
14,monica,Wow. That is not a happy hi.
14,ross,Carol's pregnant.
14,phoebe,Ooh! I found it!
14,monica,W-w-wh-... wha-... w-w-w-...
14,ross,"Yeah. Do that for another two hours, you might be where I am right about now."
14,chandler,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
14,rachel,"Well now, how-how do you fit into this whole thing?"
14,ross,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
14,phoebe,She is so great! I miss her.
14,monica,What does she mean by 'involved'?
14,chandler,"I mean presumably, the biggest part of your job is done."
14,ross,"Anyway, they want me to go down to this- sonogram thing with them tomorrow."
14,rachel,So what are you gonna do?
14,ross,"I have no idea. No matter what I do, though, I'm still gonna be a father."
14,joey,".....Well, this is still ruined, right?"
14,mrs. geller,"Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?"
14,monica,Curry.
14,mrs. geller,Mmmm!
14,ross,"I- I think they're great! I, I really do."
14,mr. geller,"Do you remember the Ludwins? The big one had a thing for you, didn't she?"
14,mrs. geller,They all had a thing for him.
14,ross,"Aw, Mom..."
14,monica,"I'm sorry, why is this girl going to call me?"
14,mrs. geller,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-"
14,monica,"No Mom, I don't have a restaurant, I work in a restaurant."
14,mrs. geller,"Well, they don't have to know that..."
14,monica,"Ross, could you come and help me with the spaghetti, please?"
14,ross,Yeah.
14,mrs. geller,"Oh, we're having spaghetti! That's.... easy."
14,monica,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
14,mrs. geller,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well."
14,mr. geller,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
14,mrs. geller,"Well, at least she had the chance to leave a man at the altar..."
14,monica,What's that supposed to mean?
14,mrs. geller,Nothing! It's an expression.
14,monica,No it's not.
14,mr. geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
14,mr. geller,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer."
14,mr. geller,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem."
14,monica,"No news, no little anecdotes to share with the folks?"
14,ross,"Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
14,mrs. geller,And you knew about this?!
15,joey,"Your folks are really that bad, huh?"
15,ross,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
15,monica,"Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours."
15,ross,Must pee.
15,phoebe,"Y'know, it's even worse when you're twins."
15,rachel,You're twins?
15,phoebe,"Yeah. We don't speak. She's like this high-powered, driven career type."
15,chandler,What does she do?
15,phoebe,She's a waitress.
15,rachel,"All right, you guys, I kinda gotta clean up now."
15,monica,"Chandler, you're an only child, right? You don't have any of this."
15,chandler,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
15,rachel,"The lights, please.."
15,ross,...How long was I in there?
15,rachel,I'm just cleaning up.
15,ross,D'ya.. uh.. d'ya need any help?
15,rachel,"Uh.. okay, sure! Thanks!"
15,ross,"Anyway.. um.. So, you- uh- you nervous about Barry tomorrow?"
15,rachel,Oh.. a little..
15,ross,Mm-hmm..
15,rachel,A lot.
15,ross,Mm.
15,rachel,"So, got any advice? Y'know, as someone who's recently been- dumped?"
15,ross,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
15,rachel,"Oh, you've got Carol tomorrow.. When did it get so complicated?"
15,ross,Got me.
15,rachel,Remember when we were in high school together?
15,ross,Yeah.
15,rachel,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..Ross?"
15,ross,"Yes, yes!"
15,rachel,"Oh! Man, I never thought I'd be here.."
15,ross,Me either...
16,ross,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
16,susan,Hi.
16,carol,"Ross, you remember Susan."
16,ross,How could I forget?
16,susan,Ross.
16,ross,"Good shake. Good shake. So, uh, we're just waiting for...?"
16,carol,Dr. Oberman.
16,ross,..Dr. Oberman. Okay. And is he-
16,susan,She.
16,ross,"-she, of course, she- uh- familiar with our.. special situation?"
16,carol,"Yes, and she's very supportive."
16,ross,"Okay, that's great. No, I'm- Oh."
16,carol,Thanks.
16,ross,"Quack, quack.."
16,carol,Ross? That opens my cervix.
16,rachel,Barry?
16,barry,C'mon in.
16,rachel,Are you sure?
16,barry,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
16,robbie,Huh?!
16,barry,"So, how ya doin?"
16,rachel,I'm- uh- I'm okay... You look great!
16,barry,"Yeah, well.."
16,bernice,"Dr. Farber, Jason Greenstein's gagging."
16,barry,Be back in a sec.
16,rachel,I dumped him.
16,robbie,Okay.
17,ross,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
17,carol,Give me a 'for instance'.
17,ross,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
17,carol,Marlon-
17,ross,Marlon?!
17,carol,"-if it's a boy, Minnie if it's a girl."
17,ross,...As in Mouse?
17,carol,As in my grandmother.
17,ross,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
17,carol,Julia..
17,susan,We agreed on Minnie.
17,ross,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
18,barry,Sorry about that. So. What have you been up to?
18,rachel,"Oh, not much. I-I got a job."
18,barry,"Oh, that's great."
18,rachel,Why are- why are you so tanned?
18,barry,"Oh, I, uh- I went to Aruba."
18,rachel,Oh no. You went on our honeymoon alone?
18,barry,"No. I went with, uh.. Now, this may hurt."
18,robbie,Me?!
18,barry,No! I went with Mindy.
18,rachel,"Mindy?! My maid of honour, Mindy?!"
18,barry,"Yeah, well, uh, we're kind of a thing now."
18,rachel,"Oh! Well, um.. You've got plugs!"
18,barry,Careful! They haven't quite taken yet.
18,rachel,And you've got lenses! But you hate sticking your finger in your eye!
18,barry,"Not for her. Listen, I really wanted to thank you."
18,rachel,Okay..
18,barry,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist."
18,rachel,Wow.
18,barry,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
18,rachel,What?
18,robbie,Me.
18,rachel,"Anyway, um, I guess this belongs to you. And thank you for giving it to me."
18,barry,"Well, thank you for giving it back."
18,robbie,Hello?!
19,susan,"Oh, please! What's wrong with Helen?"
19,ross,Helen Geller? I don't think so.
19,carol,Hello? It's not gonna be Helen Geller.
19,ross,Thank you!
19,carol,"No, I mean it's not Geller."
19,ross,"What, it's gonna be Helen Willick?"
